"Key","Issue Type","Parent","Summary","Status","Assignee","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"QDR-23","Epic","","Section 1. Planning & Analysis","To Do","","2026/02/02","2026/02/02","2026/05/05","2026/05/05","purple"
"QDR-24","Task","QDR-23","Elicit Stakeholder Requirements","Done","","2026/02/02","2026/02/02","2026/02/16","2026/02/16","purple"
"QDR-25","Task","QDR-23","Negotiate Scope and MVP","Done","","2026/02/17","2026/02/17","2026/03/03","2026/03/03","purple"
"QDR-26","Task","QDR-23","Software Requirements Specification (SRS)","Done","","2026/03/01","2026/03/01","2026/03/15","2026/03/15","purple"
"QDR-27","Task","QDR-23","Progress Report","Done","","2026/04/15","2026/04/15","2026/04/21","2026/04/21","purple"
"QDR-28","Task","QDR-23","SPM Document/ Project Charter","Done","","2026/04/21","2026/04/21","2026/05/05","2026/05/05","purple"
"QDR-29","Epic","","Section 2. System Design","To Do","","2026/03/04","2026/03/04","2026/04/21","2026/04/21","purple"
"QDR-30","Task","QDR-29","Architectural Design (COMET)","Done","","2026/03/04","2026/03/04","2026/03/16","2026/03/16","purple"
"QDR-31","Task","QDR-29","Create UML Disgrams","Done","","2026/03/17","2026/03/17","2026/03/27","2026/03/27","purple"
"QDR-32","Task","QDR-29","Design postgresSQL Schema","Done","","2026/03/28","2026/03/28","2026/04/15","2026/04/15","purple"
"QDR-33","Task","QDR-29","Design UI/UX Mockups","Done","Cyrus Alain Durango","2026/04/08","2026/04/08","2026/04/16","2026/04/16","purple"
"QDR-34","Task","QDR-29","Software Design Document (SWDD)","Done","","2026/03/16","2026/03/16","2026/04/21","2026/04/21","purple"
"QDR-35","Epic","","Section 3. Development","To Do","","2026/04/22","2026/04/22","2026/05/14","2026/05/14","purple"
"QDR-36","Task","QDR-35","Setup SupaBase Authentication","Done","","2026/04/22","2026/04/22","2026/04/25","2026/04/25","purple"
"QDR-37","Task","QDR-35","Configure Database Tables","Done","","2026/04/24","2026/04/24","2026/04/28","2026/04/28","purple"
"QDR-38","Task","QDR-35","Build Account Management Module","Done","","2026/04/27","2026/04/27","2026/05/01","2026/05/01","purple"
"QDR-39","Task","QDR-35","Build Search & Availability UI","Done","","2026/04/30","2026/04/30","2026/05/04","2026/05/04","purple"
"QDR-40","Task","QDR-35","Implement Booking Engine","To Do","","2026/05/04","2026/05/04","2026/05/09","2026/05/09","purple"
"QDR-42","Task","QDR-35","Build Static Floor Plan Grid","To Do","","2026/05/06","2026/05/06","2026/05/11","2026/05/11","purple"
"QDR-41","Task","QDR-35","Develop Virtual Waitlist System","To Do","","2026/05/05","2026/05/05","2026/05/10","2026/05/10","purple"
"QDR-43","Task","QDR-35","Implement Reservation Calendar","To Do","","2026/05/08","2026/05/08","2026/05/12","2026/05/12","purple"
"QDR-44","Task","QDR-35","Develop Guest CRM Table","To Do","","2026/05/09","2026/05/09","2026/05/13","2026/05/13","purple"
"QDR-45","Task","QDR-35","Integrate SMTP Email Server","To Do","","2026/05/10","2026/05/10","2026/05/14","2026/05/14","purple"
"QDR-46","Epic","","Section 4. Testing","To Do","","2026/04/23","2026/04/23","2026/05/20","2026/05/20","teal"
"QDR-47","Task","QDR-46","Functional & Structural Testing","Done","","2026/04/23","2026/04/23","2026/04/30","2026/04/30","purple"
"QDR-48","Task","QDR-46","UI Latency Testing (3s Target)","To Do","","2026/05/14","2026/05/14","2026/05/17","2026/05/17","purple"
"QDR-49","Task","QDR-46","Real-Time Concurrency Testing","To Do","","2026/05/16","2026/05/16","2026/05/19","2026/05/19","purple"
"QDR-50","Task","QDR-46","Verify Offline Mode Failsafe","To Do","","2026/05/18","2026/05/18","2026/05/20","2026/05/20","purple"
"QDR-51","Epic","","Section 5. Deployment","To Do","","2026/05/21","2026/05/21","2026/05/24","2026/05/24","purple"
"QDR-52","Task","QDR-51","Deploy to SupaBase Cloud","To Do","","2026/05/21","2026/05/21","2026/05/22","2026/05/22","purple"
"QDR-53","Task","QDR-51","Finalize User Manual","To Do","","2026/05/21","2026/05/21","2026/05/24","2026/05/24","purple"
